Name,Northing,Easting,Elevation,Description,Code & Attribute
1,5438348.874,489501.803,-0.476,,
2,5438348.744,489503.810,-0.467,,
3,5438348.562,489505.784,-0.450,,
4,5438348.374,489507.755,-0.426,,
5,5438348.231,489509.776,-0.366,,
6,5438348.092,489511.759,-0.384,,
7,5438347.965,489513.749,-0.381,,
8,5438347.839,489515.763,-0.362,,
9,5438347.685,489517.731,-0.350,,
10,5438347.515,489519.729,-0.332,,
11,5438347.338,489521.724,-0.333,,
12,5438347.239,489523.723,-0.320,,
13,5438347.091,489525.699,-0.319,,
14,5438346.963,489527.689,-0.291,,
15,5438346.834,489529.690,-0.294,,
16,5438346.717,489531.685,-0.303,,
17,5438346.550,489533.683,-0.290,,
18,5438346.443,489535.639,-0.270,,
19,5438346.300,489537.663,-0.221,,
20,5438346.095,489539.637,-0.239,,
21,5438345.984,489541.609,-0.158,,
22,5438345.839,489543.621,-0.120,,
23,5438345.686,489545.608,-0.064,,
24,5438345.571,489547.589,-0.024,,
25,5438345.390,489549.618,0.019,,
26,5438345.342,489551.576,-0.006,,
27,5438345.299,489553.598,-0.065,,
28,5438345.203,489555.565,-0.051,,
29,5438345.078,489557.553,0.006,,
30,5438344.973,489559.555,0.021,,
31,5438344.858,489561.550,0.013,,
32,5438344.769,489563.555,-0.054,,
33,5438344.678,489565.550,0.022,,
34,5438344.556,489567.556,0.049,,
35,5438344.417,489569.540,0.021,,
36,5438344.236,489571.518,0.034,,
37,5438344.099,489573.504,0.043,,
38,5438343.992,489575.483,-0.043,,
39,5438343.927,489577.463,-0.015,,
40,5438343.822,489579.484,0.018,,
41,5438343.695,489581.445,0.048,,
42,5438343.623,489583.473,0.021,,
43,5438343.530,489585.463,-0.034,,
44,5438343.439,489587.466,-0.027,,
45,5438343.359,489589.473,-0.071,,
46,5438343.182,489591.453,-0.118,,
47,5438343.091,489593.428,-0.083,,
48,5438342.973,489595.464,0.029,,
49,5438342.867,489597.418,0.062,,
50,5438342.740,489599.427,0.093,,
51,5438342.665,489601.419,0.134,,
52,5438342.519,489603.361,0.129,,
53,5438342.333,489605.354,0.037,,
54,5438342.166,489607.388,-0.293,,
55,5438342.063,489609.336,-0.253,,
56,5438341.918,489611.312,0.093,,
57,5438341.797,489613.259,0.158,,
58,5438341.631,489615.300,0.182,,
59,5438341.504,489617.292,0.135,,
60,5438341.354,489619.306,0.124,,
61,5438341.269,489621.317,0.176,,
62,5438341.084,489623.274,0.217,,
63,5438340.945,489625.253,0.227,,
64,5438340.783,489627.282,0.200,,
65,5438340.637,489629.269,0.138,,
66,5438340.501,489631.276,0.106,,
67,5438340.360,489633.236,0.175,,
68,5438340.216,489635.227,0.223,,
69,5438340.059,489637.239,0.218,,
70,5438339.940,489639.219,0.195,,
71,5438339.801,489641.207,0.192,,
72,5438339.648,489643.234,0.186,,
73,5438339.509,489645.212,0.170,,
74,5438339.385,489647.209,0.194,,
75,5438339.158,489649.184,0.173,,
76,5438339.067,489651.194,0.223,,
77,5438338.913,489653.118,0.301,,
78,5438338.860,489655.176,0.248,,
79,5438338.829,489657.136,0.231,,
80,5438338.730,489659.170,0.276,,
81,5438338.697,489661.149,0.240,,
82,5438338.584,489663.185,0.209,,
83,5438338.527,489665.153,0.241,,
84,5438338.469,489667.157,0.143,,
85,5438338.402,489669.195,0.130,,
86,5438338.387,489671.193,0.186,,
87,5438338.280,489673.161,0.339,,
88,5438338.199,489675.195,0.367,,
89,5438338.131,489677.178,0.298,,
90,5438338.088,489679.116,0.175,,
91,5438338.048,489681.175,0.195,,
92,5438337.981,489683.131,-0.084,,
93,5438337.901,489685.156,0.045,,
94,5438337.859,489687.113,-0.008,,
95,5438337.824,489689.120,0.069,,
96,5438337.752,489691.092,0.009,,
97,5438337.717,489693.063,-0.105,,
98,5438337.665,489694.951,-0.305,,
99,5438337.643,489696.951,-0.292,,
100,5438337.557,489698.921,-0.355,,
101,5438337.468,489700.900,-0.433,,
102,5438337.335,489702.886,-0.451,,
103,5438337.164,489704.991,-0.534,,
104,5438337.109,489706.957,-0.591,,
105,5438337.026,489708.995,-0.641,,
106,5438336.964,489710.964,-0.663,,
107,5438336.892,489712.954,-0.673,,
108,5438336.814,489714.971,-0.697,,
VRS1,5438344.748,489507.330,-1.252,Base Setup,
VRS2,5438349.588,489500.313,-0.934,Base Setup,
