Meter,Northing,Easting,Elevation,Desc,carex,carex_m,carex_height,rise,slope_dist,slope_percent,hd_calc,hd,soil_desc,soil_pos
0,5448922.526,505617.587,0.322,i: equiflu-lythsal,,,,0,0,0,0,0,c1,0.322
2,5448923.67,505616.004,0.527,No plants,,,,0.205,2,0.1025,1.989575818,1.989575818,,
4,5448924.835,505614.425,0.691,i: equiflu-trigsci-eleopal,,,,0.164,2,0.082,1.99330972,3.982885538,c2,0.691
6,5448926.023,505612.814,0.828,i: equiflu-lythsal-callsta-limoaqu-pers. sp.,,,,0.138,2,0.069,1.995255933,5.978141471,,
8,5448927.071,505611.128,0.984,s: carelyn-typhlat,39.8,0.398,1.382,0.155,2,0.0775,1.994020672,7.972162143,c3,0.984
10,5448928.097,505609.545,1.203,d: carelyn / s: typhlat,108.6,1.086,2.289,0.22,2,0.11,1.988008712,9.960170855,,
12,5448929.375,505607.903,1.262,d: carelyn / s: typhlat,95.4,0.954,2.216,0.058,2,0.029,1.99915953,11.95933038,c4,1.262
14,5448930.343,505606.301,1.141,d: carelyn,100,1,2.141,-0.12,2,-0.06,1.996409691,13.95574008,,
16,5448931.546,505604.585,1.11,d: carelyn,97.2,0.972,2.082,-0.032,2,-0.016,1.999744049,15.95548412,c5,1.11
18,5448932.706,505603.019,1.245,d: carelyn,84,0.84,2.085,0.136,2,0.068,1.995391974,17.9508761,,
