Meter,Northing,Easting,Elevation,Desc,soil_pos,soil_desc,rise,slope_dist,slope_percent,hd_calc,hd,Meter2
0,5442288.22,483343.743,0.384,No plants,0.384,c1,0,0,0,0,0,0
2,5442286.26,483344.07,0.381,i: schopun,,,-0.003,2,-0.0015,1.99999775,1.99999775,     
4,5442284.288,483344.386,0.408,i: schopun,,,0.027,2,0.0135,1.999817775,3.999815525,
6,5442282.277,483344.569,0.475,s: schopun,,,0.067,2,0.0335,1.998878694,5.998694219,
8,5442280.337,483344.823,0.461,s: schopun,,,-0.014,2,-0.007,1.999951002,7.99864522,
10,5442278.413,483345.229,0.531,d: schopun,0.531,c2,0.07,2,0.035,1.998776124,9.997421345,10
12,5442276.443,483345.388,0.472,d: schopun,,,-0.059,2,-0.0295,1.999130318,11.99655166,
14,5442274.385,483345.697,0.421,d: schopun,,,-0.051,2,-0.0255,1.999350067,13.99590173,
16,5442272.438,483346.041,0.393,d: schopun,,,-0.028,2,-0.014,1.999804029,15.99570576,
18,5442270.387,483346.347,0.403,d: schopun,,,0.01,2,0.005,1.999975,17.99568076,
20,5442268.465,483346.594,0.423,d: schopun,0.423,c3,0.02,2,0.01,1.999900007,19.99558077,20
22,5442266.482,483346.974,0.392,d: schopun,,,-0.031,2,-0.0155,1.999759793,21.99534056,
24,5442264.586,483347.13,0.423,d: schopun,,,0.031,2,0.0155,1.999759793,23.99510035,
26,5442262.547,483347.306,0.392,d: schopun,,,-0.031,2,-0.0155,1.999759793,25.99486015,
28,5442260.536,483347.398,0.291,d: schopun,,,-0.101,2,-0.0505,1.997454617,27.99231476,
30,5442258.511,483347.532,0.305,s: schopun,0.305,c4,0.014,2,0.007,1.999951002,29.99226577,30
32,5442256.535,483347.736,0.315,d: schopun / i: bolbmar,,,0.01,2,0.005,1.999975,31.99224077,
34,5442254.588,483347.8,0.196,d: schopun / i: bolbmar,,,-0.119,2,-0.0595,1.996469122,33.98870989,
36,5442252.516,483347.838,0.164,s: schopun,,,-0.032,2,-0.016,1.999744049,35.98845394,
38,5442250.487,483347.828,0.18,s: schopun,,,0.016,2,0.008,1.999936003,37.98838994,
40,5442248.611,483347.949,0.036,s: schopun,0.036,c5,-0.144,2,-0.072,1.994836069,39.98322601,40
42,5442246.574,483348.064,-0.422,i: schopun,,,-0.458,2,-0.229,1.949535359,41.93276137,
44,5442244.583,483348.06,-0.441,i: schopun,,,-0.019,2,-0.0095,1.999909756,43.93267112,
46,5442242.529,483348.053,-0.286,s: schopun,,,0.155,2,0.0775,1.994020672,45.9266918,
48,5442240.647,483348.096,-0.139,d: schopun,,,0.147,2,0.0735,1.99461954,47.92131134,
50,5442238.647,483348.126,-0.028,d: schopun / i: bolbmar,-0.028,c6,0.111,2,0.0555,1.996926848,49.91823818,50
52,5442236.533,483348.182,0.031,d: schopun / i: bolbmar,,,0.059,2,0.0295,1.999130318,51.9173685,
54,5442234.562,483348.279,0.109,d: schopun / i: bolbmar-carelyn,,,0.078,2,0.039,1.998480733,53.91584923,
56,5442232.487,483348.268,0.017,s: carelyn / i: schopun-bolbmar,,,-0.092,2,-0.046,1.997887352,55.91373659,
58,5442230.553,483348.255,0.337,d: carelyn / i: schopun,,,0.32,2,0.16,1.974881264,57.88861785,
