Meter,Northing,Easting,Elevation,Desc,soil_pos,soil_desc,rise,slope_dist,slope_percent,hd_calc,hd
0,5447747.306,504768.56,-0.224,i: callsta-lythsal,-0.224,c1,0,0,0,0,0
2,5447748.065,504766.729,-0.183,i: callsta-crasaqu,,,0.041,2,0.0205,1.999579882,1.999579882
4,5447748.888,504764.915,-0.176,i: persfol,,,0.007,2,0.0035,1.99998775,3.999567633
6,5447749.707,504763.111,-0.119,i: callsta-persfol,,,0.057,2,0.0285,1.999188244,5.998755877
8,5447750.557,504761.299,-0.054,i: callsta-persfol,,,0.065,2,0.0325,1.998944586,7.997700463
10,5447751.399,504759.487,0.036,i: callsta-zannpal,,,0.09,2,0.045,1.99797807,9.995678533
12,5447752.234,504757.67,0.173,i: zannpal-crasaqu-vero sp.-pers. sp.,0.173,c2,0.138,2,0.069,1.995255933,11.99093447
14,5447753.019,504756.056,0.295,i: zannpal-crasaqu-limoaqu-lythsal,,,0.122,2,0.061,1.996289352,13.98722382
16,5447753.842,504754.034,0.365,s: myriuss,,,0.069,2,0.0345,1.998810811,15.98603463
18,5447754.611,504752.2,0.384,s: myriuss,,,0.019,2,0.0095,1.999909756,17.98594439
20,5447755.402,504750.343,0.474,s: myriuss,,,0.091,2,0.0455,1.997932959,19.98387735
22,5447756.267,504748.536,0.505,s: myriuss,,,0.031,2,0.0155,1.999759793,21.98363714
24,5447757.088,504746.711,0.524,i: callsta-lythsal-limoaqu-vero sp.-eleopar,0.524,c3,0.019,2,0.0095,1.999909756,23.98354689
26,5447757.9,504744.912,0.574,s: myriuss,,,0.05,2,0.025,1.999375293,25.98292219
28,5447758.742,504743.126,0.705,s: myriuss-myossco,,,0.13,2,0.065,1.995788341,27.97871053
30,5447759.504,504741.264,0.761,s: spareme,,,0.057,2,0.0285,1.999188244,29.97789877
32,5447760.397,504739.463,0.787,d: myossco / s: lythsal-spareme-myriuss,,,0.026,2,0.013,1.999831021,31.97772979
34,5447761.116,504737.585,0.905,s: myossco-lythsal-spareme-myriuss,,,0.118,2,0.059,1.996528062,33.97425786
36,5447761.887,504735.762,0.961,s: myossco-lythsal-spareme,0.961,c4,0.056,2,0.028,1.999216461,35.97347432
38,5447762.625,504733.959,0.951,s: lythsal-spareme,,,-0.01,2,-0.005,1.999975,37.97344932
40,5447763.29,504732.14,0.929,s: lythsal-spareme,,,-0.023,2,-0.0115,1.999867763,39.97331708
42,5447764.11,504730.254,0.998,d: spareme / s: lythsal,,,0.07,2,0.035,1.998776124,41.9720932
44,5447764.962,504728.498,1.009,s: lythsal-spareme-hippvul,,,0.011,2,0.0055,1.999969751,43.97206296
46,5447765.839,504726.796,1.056,s: lythsal-spareme-hippvul,,,0.046,2,0.023,1.99947121,45.97153417
48,5447766.693,504724.982,1.164,d: myossco / s: hippvul,1.164,c5,0.109,2,0.0545,1.99703635,47.96857052
50,5447767.512,504723.143,1.204,d: myossco / s: lythsal,,,0.04,2,0.02,1.99960012,49.96817064
52,5447768.383,504721.484,1.249,d: myossco / s: lythsal,,,0.045,2,0.0225,1.999493942,51.96766458
54,5447769.23,504719.661,1.251,s: veronica sp. ,,,0.002,2,0.001,1.999999,53.96766358
56,5447770.102,504717.829,1.278,s: myossco-lythsal,,,0.027,2,0.0135,1.999817775,55.96748135
58,5447770.936,504716.006,1.293,s: typhlat-lythsal,,,0.015,2,0.0075,1.999943752,57.9674251
60,5447771.9,504714.318,1.286,s: typhlat-lythsal,1.286,c6,-0.007,2,-0.0035,1.99998775,59.96741286
62,5447773.201,504712.804,1.293,s: typhlat-lythsal,,,0.007,2,0.0035,1.99998775,61.96740061
64,5447774.483,504711.32,1.263,s: typhlat-lythsal,,,-0.03,2,-0.015,1.999775038,63.96717564
66,5447775.787,504709.735,1.122,d: lythsal / s: eleopar,,,-0.141,2,-0.0705,1.995048201,65.96222384
68,5447776.94,504708.287,1.001,d: eleopar,,,-0.121,2,-0.0605,1.996349768,67.95857361
70,5447778.292,504706.968,0.846,d: eleopar,,,-0.155,2,-0.0775,1.994020672,69.95259428
72,5447779.584,504705.416,0.629,i: callsta-ludwpal-vero sp.,0.629,c7,-0.217,2,-0.1085,1.98833068,71.94092496
74,5447780.815,504703.846,0.448,i: callsta-pers. sp.,,,-0.18,2,-0.09,1.991948878,73.93287384
76,5447781.998,504702.281,0.159,i: callsta,,,-0.29,2,-0.145,1.979300834,75.91217468
